nest,NDVI,NDWI,Mat_Gland,Mat_Head,Mat_Birth,Mat_Age,Mat_Cort,Pat_Gland,Pat_Head,Pat_Birth,Pat_Age,Pat_Cort,Mean_Gland,Mean_Head,Mean_Age,Mean_Cort,BLUP,BLUP_25,latitude,longitude,first_egg_date,parents,Bird_FID,FID_m,FID_time,Repetition,Zone,Note_,Note_time,SD_m,SD_time,note_,note_time,Date,Time,Year,gull10m,height_m,dist_shore_m,dist_shore_m_new,distMOD,Egg1,Egg2,Egg3,Egg4,TotEgg,EggHatched,2nd_clutch,ProbaChick,HatchSucc,ClutchMass,Chick1,Chick2,Chick3,Chick4,ChickNmass,Count_ALL_nests,Count_Larcan_nests,Distance_coast,Count_ALL_nests_Hannah,Count_Larcan_nests_Hannah
1_24,0.683604538,0.5,3.4,90.7,,,,4.9,98.9,2010,14,6.62,4.15,94.8,14,6.62,1.9159345,3.256026512,58.7657636,23.4355378,02/05/2024,"P61E;
P03Y",P61E,8,02/05/2024 15:07,1,North,,19/06/2024 14:02,30,02/05/2024 15:07,,19/06/2024 14:02,02/05/2024,15:07:00,2024,0.098892912,0.75,21.0218339,33.66660622,21.0218339,55.1,53.8,51.5,,3,3,,1,1,160.4,38.4,,36.6,,75,5,5,33.67,10,10
1_24,0.683604538,0.5,3.4,90.7,,,,4.9,98.9,2010,14,6.62,4.15,94.8,14,6.62,,,58.7657636,23.4355378,02/05/2024,"P61E;
P03Y",P03Y,9,03/05/2024 11:01,2,North,FiD done birdno plastic metal right leg,06/05/2024 11:31,41,03/05/2024 11:01,,19/06/2024 14:02,03/05/2024,11:01:00,2024,0.098892912,0.75,21.0218339,33.66660622,21.0218339,55.1,53.8,51.5,,3,3,,1,1,160.4,38.4,,36.6,,75,5,5,33.67,10,10
1_24,0.683604538,0.5,3.4,90.7,,,,4.9,98.9,2010,14,6.62,4.15,94.8,14,6.62,,,58.7657636,23.4355378,02/05/2024,"P61E;
P03Y",,13,04/05/2024 12:34,3,North,,19/06/2024 14:02,40,04/05/2024 12:32,,19/06/2024 14:02,04/05/2024,12:34:00,2024,0.098892912,0.75,21.0218339,33.66660622,21.0218339,55.1,53.8,51.5,,3,3,,1,1,160.4,38.4,,36.6,,75,5,5,33.67,10,10
1_24,0.683604538,0.5,3.4,90.7,,,,4.9,98.9,2010,14,6.62,4.15,94.8,14,6.62,,,58.7657636,23.4355378,02/05/2024,"P61E;
P03Y",,15,05/05/2024 10:06,4,North,,19/06/2024 14:02,35,05/05/2024 10:05,,19/06/2024 14:02,05/05/2024,10:06:00,2024,0.098892912,0.75,21.0218339,33.66660622,21.0218339,55.1,53.8,51.5,,3,3,,1,1,160.4,38.4,,36.6,,75,5,5,33.67,10,10
1_24,0.683604538,0.5,3.4,90.7,,,,4.9,98.9,2010,14,6.62,4.15,94.8,14,6.62,,,58.7657636,23.4355378,02/05/2024,"P61E;
P03Y",,13,06/05/2024 11:33,5,North,,19/06/2024 14:02,25,06/05/2024 11:31,,19/06/2024 14:02,06/05/2024,11:33:00,2024,0.098892912,0.75,21.0218339,33.66660622,21.0218339,55.1,53.8,51.5,,3,3,,1,1,160.4,38.4,,36.6,,75,5,5,33.67,10,10
1_24,0.683604538,0.5,3.4,90.7,,,,4.9,98.9,2010,14,6.62,4.15,94.8,14,6.62,,,58.7657636,23.4355378,02/05/2024,"P61E;
P03Y",,12,07/05/2024 12:00,6,North,,19/06/2024 14:02,27,07/05/2024 11:58,,19/06/2024 14:02,07/05/2024,12:00:00,2024,0.098892912,0.75,21.0218339,33.66660622,21.0218339,55.1,53.8,51.5,,3,3,,1,1,160.4,38.4,,36.6,,75,5,5,33.67,10,10
2_24,0.7131024,0.5,3.1,85.1,,,28.46,4.1,93.8,2014,10,,3.6,89.45,10,28.46,2.121818,3.521445454,58.7656967,23.4355383,02/05/2024,"P24U;
P41Y",P24U,12,02/05/2024 15:02,1,North,,19/06/2024 14:02,36,02/05/2024 15:02,,19/06/2024 14:02,02/05/2024,15:02:00,2024,0.00255822,0.57,13.63470966,26.21508556,13.63470966,52.2,52.2,51.8,,3,1,,1,0.333333333,156.2,,36,,,36,10,10,26.22,13,13
2_24,0.7131024,0.5,3.1,85.1,,,28.46,4.1,93.8,2014,10,,3.6,89.45,10,28.46,,,58.7656967,23.4355383,02/05/2024,"P24U;
P41Y",P24U,16,03/05/2024 10:59,2,North,,19/06/2024 14:02,40,03/05/2024 10:59,,19/06/2024 14:02,03/05/2024,10:59:00,2024,0.00255822,0.57,13.63470966,26.21508556,13.63470966,52.2,52.2,51.8,,3,1,,1,0.333333333,156.2,,36,,,36,10,10,26.22,13,13
2_24,0.7131024,0.5,3.1,85.1,,,28.46,4.1,93.8,2014,10,,3.6,89.45,10,28.46,,,58.7656967,23.4355383,02/05/2024,"P24U;
P41Y",P24U,10,04/05/2024 12:41,3,North,,19/06/2024 14:02,45,04/05/2024 12:41,,19/06/2024 14:02,04/05/2024,12:41:00,2024,0.00255822,0.57,13.63470966,26.21508556,13.63470966,52.2,52.2,51.8,,3,1,,1,0.333333333,156.2,,36,,,36,10,10,26.22,13,13
2_24,0.7131024,0.5,3.1,85.1,,,28.46,4.1,93.8,2014,10,,3.6,89.45,10,28.46,,,58.7656967,23.4355383,02/05/2024,"P24U;
P41Y",P24U,10,05/05/2024 10:02,4,North,FiD done plastic right leg,05/05/2024 10:02,27,05/05/2024 10:02,no plastic bird fid,07/05/2024 11:56,05/05/2024,10:02:00,2024,0.00255822,0.57,13.63470966,26.21508556,13.63470966,52.2,52.2,51.8,,3,1,,1,0.333333333,156.2,,36,,,36,10,10,26.22,13,13
2_24,0.7131024,0.5,3.1,85.1,,,28.46,4.1,93.8,2014,10,,3.6,89.45,10,28.46,,,58.7656967,23.4355383,02/05/2024,"P24U;
P41Y",P24U,12,06/05/2024 11:29,5,North,FiD done bird right leg plastic ,06/05/2024 11:30,29,06/05/2024 11:28,,19/06/2024 14:02,06/05/2024,11:29:00,2024,0.00255822,0.57,13.63470966,26.21508556,13.63470966,52.2,52.2,51.8,,3,1,,1,0.333333333,156.2,,36,,,36,10,10,26.22,13,13
2_24,0.7131024,0.5,3.1,85.1,,,28.46,4.1,93.8,2014,10,,3.6,89.45,10,28.46,,,58.7656967,23.4355383,02/05/2024,"P24U;
P41Y",,13,07/05/2024 11:57,6,North,,19/06/2024 14:02,25,07/05/2024 11:57,,19/06/2024 14:02,07/05/2024,11:57:00,2024,0.00255822,0.57,13.63470966,26.21508556,13.63470966,52.2,52.2,51.8,,3,1,,1,0.333333333,156.2,,36,,,36,10,10,26.22,13,13
3_24,0.871022165,0.870000005,4.6,84.2,2012,12,11.64,4.1,94.7,2012,12,9.86,4.35,89.45,12,10.75,-0.2657426,1.895058162,58.7662267,23.433885,02/05/2024,"P05C;
P74N",P74N,15,02/05/2024 15:20,1,Middle,,19/06/2024 14:02,40,02/05/2024 15:20,,19/06/2024 14:02,02/05/2024,15:20:00,2024,0.000948092,0.58,9.03964793,25.2632085,9.03964793,50.1,52.6,50.1,,3,2,,1,0.666666667,152.8,37,36.4,,,73.4,4,4,25.26,5,5
3_24,0.871022165,0.870000005,4.6,84.2,2012,12,11.64,4.1,94.7,2012,12,9.86,4.35,89.45,12,10.75,,,58.7662267,23.433885,02/05/2024,"P05C;
P74N",P74N,25,03/05/2024 11:13,2,Middle,,19/06/2024 14:02,55,03/05/2024 11:13,,19/06/2024 14:02,03/05/2024,11:13:00,2024,0.000948092,0.58,9.03964793,25.2632085,9.03964793,50.1,52.6,50.1,,3,2,,1,0.666666667,152.8,37,36.4,,,73.4,4,4,25.26,5,5
3_24,0.871022165,0.870000005,4.6,84.2,2012,12,11.64,4.1,94.7,2012,12,9.86,4.35,89.45,12,10.75,,,58.7662267,23.433885,02/05/2024,"P05C;
P74N",P05C,13,04/05/2024 12:11,3,Middle,,19/06/2024 14:02,36,04/05/2024 12:11,,19/06/2024 14:02,04/05/2024,12:11:00,2024,0.000948092,0.58,9.03964793,25.2632085,9.03964793,50.1,52.6,50.1,,3,2,,1,0.666666667,152.8,37,36.4,,,73.4,4,4,25.26,5,5
3_24,0.871022165,0.870000005,4.6,84.2,2012,12,11.64,4.1,94.7,2012,12,9.86,4.35,89.45,12,10.75,,,58.7662267,23.433885,02/05/2024,"P05C;
P74N",P74N,16,05/05/2024 10:16,4,Middle,plastic right leg fid,06/05/2024 12:12,63,05/05/2024 10:16,done on P05C,05/05/2024 10:19,05/05/2024,10:16:00,2024,0.000948092,0.58,9.03964793,25.2632085,9.03964793,50.1,52.6,50.1,,3,2,,1,0.666666667,152.8,37,36.4,,,73.4,4,4,25.26,5,5
3_24,0.871022165,0.870000005,4.6,84.2,2012,12,11.64,4.1,94.7,2012,12,9.86,4.35,89.45,12,10.75,,,58.7662267,23.433885,02/05/2024,"P05C;
P74N",,17,06/05/2024 12:13,5,Middle,,19/06/2024 14:02,55,06/05/2024 12:12,done on P05C,07/05/2024 13:18,06/05/2024,12:13:00,2024,0.000948092,0.58,9.03964793,25.2632085,9.03964793,50.1,52.6,50.1,,3,2,,1,0.666666667,152.8,37,36.4,,,73.4,4,4,25.26,5,5
3_24,0.871022165,0.870000005,4.6,84.2,2012,12,11.64,4.1,94.7,2012,12,9.86,4.35,89.45,12,10.75,,,58.7662267,23.433885,02/05/2024,"P05C;
P74N",,9,07/05/2024 13:18,6,Middle,,19/06/2024 14:02,70,07/05/2024 13:15,both chicks seen near the nest,06/06/2024 12:12,07/05/2024,13:18:00,2024,0.000948092,0.58,9.03964793,25.2632085,9.03964793,50.1,52.6,50.1,,3,2,,1,0.666666667,152.8,37,36.4,,,73.4,4,4,25.26,5,5
4_24,0.80687052,0.723333339,4.1,87.6,,,8.3,4.5,97.4,2008,16,,4.3,92.5,16,8.3,5.4283344,8.137345385,58.7662605,23.4333965,02/05/2024,"P3X7;
P01Y",P01Y,17,02/05/2024 15:26,1,Middle,,19/06/2024 14:02,48,02/05/2024 15:26,,19/06/2024 14:02,02/05/2024,15:26:00,2024,0.003388274,0.79,15.00343896,19.22108062,15.00343896,50.3,53.8,50.7,,3,3,,1,1,154.8,35.7,,33,,68.7,6,6,19.22,11,11
4_24,0.80687052,0.723333339,4.1,87.6,,,8.3,4.5,97.4,2008,16,,4.3,92.5,16,8.3,,,58.7662605,23.4333965,02/05/2024,"P3X7;
P01Y",P01Y,22,03/05/2024 11:20,2,Middle,,19/06/2024 14:02,50,03/05/2024 11:20,,19/06/2024 14:02,03/05/2024,11:20:00,2024,0.003388274,0.79,15.00343896,19.22108062,15.00343896,50.3,53.8,50.7,,3,3,,1,1,154.8,35.7,,33,,68.7,6,6,19.22,11,11
4_24,0.80687052,0.723333339,4.1,87.6,,,8.3,4.5,97.4,2008,16,,4.3,92.5,16,8.3,,,58.7662605,23.4333965,02/05/2024,"P3X7;
P01Y",P3X7,36,04/05/2024 12:02,3,Middle,"done bird plastic right leg, P??7",05/05/2024 10:20,41,04/05/2024 12:02,bird had ring on the right leg it seems for the fid,04/05/2024 12:08,04/05/2024,12:02:00,2024,0.003388274,0.79,15.00343896,19.22108062,15.00343896,50.3,53.8,50.7,,3,3,,1,1,154.8,35.7,,33,,68.7,6,6,19.22,11,11
4_24,0.80687052,0.723333339,4.1,87.6,,,8.3,4.5,97.4,2008,16,,4.3,92.5,16,8.3,,,58.7662605,23.4333965,02/05/2024,"P3X7;
P01Y",P01Y,30,05/05/2024 10:21,4,Middle,fid no plastic metal right,06/05/2024 12:16,55,05/05/2024 10:20,left plastic bird fid,07/05/2024 13:35,05/05/2024,10:21:00,2024,0.003388274,0.79,15.00343896,19.22108062,15.00343896,50.3,53.8,50.7,,3,3,,1,1,154.8,35.7,,33,,68.7,6,6,19.22,11,11
4_24,0.80687052,0.723333339,4.1,87.6,,,8.3,4.5,97.4,2008,16,,4.3,92.5,16,8.3,,,58.7662605,23.4333965,02/05/2024,"P3X7;
P01Y",,21,06/05/2024 12:16,5,Middle,,19/06/2024 14:02,52,06/05/2024 12:15,,19/06/2024 14:02,06/05/2024,12:16:00,2024,0.003388274,0.79,15.00343896,19.22108062,15.00343896,50.3,53.8,50.7,,3,3,,1,1,154.8,35.7,,33,,68.7,6,6,19.22,11,11
4_24,0.80687052,0.723333339,4.1,87.6,,,8.3,4.5,97.4,2008,16,,4.3,92.5,16,8.3,,,58.7662605,23.4333965,02/05/2024,"P3X7;
P01Y",,9,07/05/2024 13:34,6,Middle,,19/06/2024 14:02,60,07/05/2024 13:31,,19/06/2024 14:02,07/05/2024,13:34:00,2024,0.003388274,0.79,15.00343896,19.22108062,15.00343896,50.3,53.8,50.7,,3,3,,1,1,154.8,35.7,,33,,68.7,6,6,19.22,11,11
5_24,0.654152811,0.469999999,6.7,88,2013,11,,3.5,94.7,2011,13,18.44,5.1,91.35,12,18.44,-2.3719044,-0.688533023,58.7669419,23.4294912,03/05/2024,"P12J;
P36K",P12J,12,05/05/2024 11:18,1,Head,plastic right leg fid,07/05/2024 14:43,38,05/05/2024 11:18,found on 2.05 with 1st egg,03/05/2024 12:13,05/05/2024,11:18:00,2024,0.004071132,1.44,30.53591917,53.98907061,30.53591917,56.4,56.3,52.8,,3,3,,1,1,165.5,39.1,41.9,35.4,,116.4,10,9,53.99,19,17
