nest,BLUP_25,latitude,longitude,first_egg_date,FID_m,Repetition,Zone,SD_m,Date,Time,Year,height_m,Egg1,Egg2,Egg3,Egg4,TotEgg,EggHatched,ProbaChick,HatchSucc,ClutchMass,Chick1,Chick2,Chick3,Chick4,ChickNmass,Count_Larcan_nests_Hannah
1_24,3.256026512,58.7657636,23.4355378,02/05/2024,8,1,North,30,02/05/2024,15:07:00,2024,0.75,55.1,53.8,51.5,,3,3,1,1,160.4,38.4,,36.6,,75,10
1_24,,58.7657636,23.4355378,02/05/2024,9,2,North,41,03/05/2024,11:01:00,2024,0.75,55.1,53.8,51.5,,3,3,1,1,160.4,38.4,,36.6,,75,10
1_24,,58.7657636,23.4355378,02/05/2024,13,3,North,40,04/05/2024,12:34:00,2024,0.75,55.1,53.8,51.5,,3,3,1,1,160.4,38.4,,36.6,,75,10
1_24,,58.7657636,23.4355378,02/05/2024,15,4,North,35,05/05/2024,10:06:00,2024,0.75,55.1,53.8,51.5,,3,3,1,1,160.4,38.4,,36.6,,75,10
1_24,,58.7657636,23.4355378,02/05/2024,13,5,North,25,06/05/2024,11:33:00,2024,0.75,55.1,53.8,51.5,,3,3,1,1,160.4,38.4,,36.6,,75,10
1_24,,58.7657636,23.4355378,02/05/2024,12,6,North,27,07/05/2024,12:00:00,2024,0.75,55.1,53.8,51.5,,3,3,1,1,160.4,38.4,,36.6,,75,10
2_24,3.521445454,58.7656967,23.4355383,02/05/2024,12,1,North,36,02/05/2024,15:02:00,2024,0.57,52.2,52.2,51.8,,3,1,1,0.333333333,156.2,,36,,,36,13
2_24,,58.7656967,23.4355383,02/05/2024,16,2,North,40,03/05/2024,10:59:00,2024,0.57,52.2,52.2,51.8,,3,1,1,0.333333333,156.2,,36,,,36,13
2_24,,58.7656967,23.4355383,02/05/2024,10,3,North,45,04/05/2024,12:41:00,2024,0.57,52.2,52.2,51.8,,3,1,1,0.333333333,156.2,,36,,,36,13
2_24,,58.7656967,23.4355383,02/05/2024,10,4,North,27,05/05/2024,10:02:00,2024,0.57,52.2,52.2,51.8,,3,1,1,0.333333333,156.2,,36,,,36,13
2_24,,58.7656967,23.4355383,02/05/2024,12,5,North,29,06/05/2024,11:29:00,2024,0.57,52.2,52.2,51.8,,3,1,1,0.333333333,156.2,,36,,,36,13
2_24,,58.7656967,23.4355383,02/05/2024,13,6,North,25,07/05/2024,11:57:00,2024,0.57,52.2,52.2,51.8,,3,1,1,0.333333333,156.2,,36,,,36,13
3_24,1.895058162,58.7662267,23.433885,02/05/2024,15,1,Middle,40,02/05/2024,15:20:00,2024,0.58,50.1,52.6,50.1,,3,2,1,0.666666667,152.8,37,36.4,,,73.4,5
3_24,,58.7662267,23.433885,02/05/2024,25,2,Middle,55,03/05/2024,11:13:00,2024,0.58,50.1,52.6,50.1,,3,2,1,0.666666667,152.8,37,36.4,,,73.4,5
3_24,,58.7662267,23.433885,02/05/2024,13,3,Middle,36,04/05/2024,12:11:00,2024,0.58,50.1,52.6,50.1,,3,2,1,0.666666667,152.8,37,36.4,,,73.4,5
3_24,,58.7662267,23.433885,02/05/2024,16,4,Middle,63,05/05/2024,10:16:00,2024,0.58,50.1,52.6,50.1,,3,2,1,0.666666667,152.8,37,36.4,,,73.4,5
3_24,,58.7662267,23.433885,02/05/2024,17,5,Middle,55,06/05/2024,12:13:00,2024,0.58,50.1,52.6,50.1,,3,2,1,0.666666667,152.8,37,36.4,,,73.4,5
3_24,,58.7662267,23.433885,02/05/2024,9,6,Middle,70,07/05/2024,13:18:00,2024,0.58,50.1,52.6,50.1,,3,2,1,0.666666667,152.8,37,36.4,,,73.4,5
4_24,8.137345385,58.7662605,23.4333965,02/05/2024,17,1,Middle,48,02/05/2024,15:26:00,2024,0.79,50.3,53.8,50.7,,3,3,1,1,154.8,35.7,,33,,68.7,11
4_24,,58.7662605,23.4333965,02/05/2024,22,2,Middle,50,03/05/2024,11:20:00,2024,0.79,50.3,53.8,50.7,,3,3,1,1,154.8,35.7,,33,,68.7,11
4_24,,58.7662605,23.4333965,02/05/2024,36,3,Middle,41,04/05/2024,12:02:00,2024,0.79,50.3,53.8,50.7,,3,3,1,1,154.8,35.7,,33,,68.7,11
4_24,,58.7662605,23.4333965,02/05/2024,30,4,Middle,55,05/05/2024,10:21:00,2024,0.79,50.3,53.8,50.7,,3,3,1,1,154.8,35.7,,33,,68.7,11
4_24,,58.7662605,23.4333965,02/05/2024,21,5,Middle,52,06/05/2024,12:16:00,2024,0.79,50.3,53.8,50.7,,3,3,1,1,154.8,35.7,,33,,68.7,11
4_24,,58.7662605,23.4333965,02/05/2024,9,6,Middle,60,07/05/2024,13:34:00,2024,0.79,50.3,53.8,50.7,,3,3,1,1,154.8,35.7,,33,,68.7,11
5_24,-0.688533023,58.7669419,23.4294912,03/05/2024,12,1,Head,38,05/05/2024,11:18:00,2024,1.44,56.4,56.3,52.8,,3,3,1,1,165.5,39.1,41.9,35.4,,116.4,17
5_24,,58.7669419,23.4294912,03/05/2024,15,2,Head,68,06/05/2024,13:32:00,2024,1.44,56.4,56.3,52.8,,3,3,1,1,165.5,39.1,41.9,35.4,,116.4,17
5_24,,58.7669419,23.4294912,03/05/2024,5,3,Head,60,07/05/2024,14:43:00,2024,1.44,56.4,56.3,52.8,,3,3,1,1,165.5,39.1,41.9,35.4,,116.4,17
5_24,,58.7669419,23.4294912,03/05/2024,26,4,Head,67,08/05/2024,12:58:00,2024,1.44,56.4,56.3,52.8,,3,3,1,1,165.5,39.1,41.9,35.4,,116.4,17
