Egg,EggNb,Chick,nest,LayingDate,HatchingDate,Growth,BLUP,latitude,longitude,FID_m,Repetition,Zone,SD_m,Date,Year,height_m,Count_Larcan_nests_Hannah,Count_Larcan_nests,Distance_coast
55.1,1,38.4,1_24,02/05/2024,29/05/2024 10:47,-0.2,1.9159345,58.7657636,23.4355378,8,1,North,30,02/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,9,2,North,41,03/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,13,3,North,40,04/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,15,4,North,35,05/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,13,5,North,25,06/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,12,6,North,27,07/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,04/05/2024,29/05/2024 12:05,,1.9159345,58.7657636,23.4355378,8,1,North,30,02/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,9,2,North,41,03/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,13,3,North,40,04/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,15,4,North,35,05/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,13,5,North,25,06/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,12,6,North,27,07/05/2024,2024,0.75,10,5,33.67
51.5,3,36.6,1_24,06/05/2024,30/05/2024 10:24,5.8,1.9159345,58.7657636,23.4355378,8,1,North,30,02/05/2024,2024,0.75,10,5,33.67
51.5,3,,1_24,,,,,58.7657636,23.4355378,9,2,North,41,03/05/2024,2024,0.75,10,5,33.67
51.5,3,,1_24,,,,,58.7657636,23.4355378,13,3,North,40,04/05/2024,2024,0.75,10,5,33.67
